"id","parent_id/id","code","name"
"sni_661","","661","Stödtjänster till finansiella tjänster utom försäkring och pensionsfondsverksamhet"
"sni_662","","662","Stödtjänster till försäkrings- och pensionsfondsverksamhet"
"sni_663","","663","Fondförvaltning"
"sni_681","","681","Handel med egna fastigheter"
"sni_682","","682","Uthyrning och förvaltning av egna eller arrenderade fastigheter"
"sni_683","","683","Fastighetsförmedling och fastighetsförvaltning på uppdrag"
"sni_691","","691","Juridisk verksamhet"
"sni_692","","692","Redovisning och bokföring, revision, skatterådgivning"
"sni_701","","701","Verksamheter som utövas av huvudkontor"
"sni_702","","702","Konsulttjänster till företag"
"sni_711","","711","Arkitekt- och teknisk konsultverksamhet o.d."
"sni_712","","712","Teknisk provning och analys"
"sni_721","","721","Naturvetenskaplig och teknisk forskning och utveckling"
"sni_722","","722","Samhällsvetenskaplig och humanistisk forskning och utveckling"
"sni_731","","731","Reklamverksamhet"
"sni_732","","732","Marknads- och opinionsundersökning"
"sni_741","","741","Specialiserad designverksamhet"
"sni_742","","742","Fotoverksamhet"
"sni_743","","743","Översättning och tolkning"
"sni_749","","749","Övrig verksamhet inom juridik, ekonomi, vetenskap och teknik"
"sni_750","","750","Veterinärverksamhet"
"sni_771","","771","Uthyrning och leasing av motorfordon"
"sni_772","","772","Uthyrning och leasing av hushållsartiklar och varor för personligt bruk"
"sni_773","","773","Uthyrning och leasing av annan utrustning och andra maskiner och materiella tillgångar"
"sni_774","","774","Leasing av immateriell egendom och liknande produkter, med undantag för upphovsrättsskyddade verk"
"sni_781","","781","Arbetsförmedling och rekrytering"
"sni_782","","782","Personaluthyrning"
"sni_783","","783","Övrigt tillhandahållande av personalfunktioner"
"sni_791","","791","Resetjänster"
"sni_799","","799","Turist- och bokningsservice"
"sni_801","","801","Säkerhetsverksamhet"
"sni_802","","802","Säkerhetssystemtjänster"
"sni_803","","803","Spanings- och detektivverksamhet"
"sni_811","","811","Fastighetsrelaterade stödtjänster"
"sni_812","","812","Rengöring och lokalvård"
"sni_813","","813","Skötsel och underhåll av grönytor"
"sni_821","","821","Kontorstjänster"
"sni_822","","822","Callcenterverksamhet"
"sni_823","","823","Arrangemang av kongresser och mässor"
"sni_829","","829","Andra företagstjänster"
"sni_841","","841","Offentlig förvaltning"
"sni_842","","842","Offentliga tjänster"
"sni_843","","843","Obligatorisk socialförsäkring"
"sni_851","","851","Förskoleutbildning"
"sni_852","","852","Grundskoleutbildning"
"sni_853","","853","Gymnasial utbildning"
"sni_854","","854","Eftergymnasial utbildning"
"sni_855","","855","Vuxenutbildning och övrig utbildning"
"sni_856","","856","Stödverksamhet för utbildningsväsendet"
"sni_861","","861","Sluten sjukvård"
"sni_862","","862","Öppen hälso- och sjukvård, tandvård"
"sni_869","","869","Annan hälso- och sjukvård"
"sni_871","","871","Boende med sjuksköterskevård"
"sni_872","","872","Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem"
"sni_873","","873","Vård och omsorg i särskilda boendeformer för äldre och funktionshindrade personer"
"sni_879","","879","Annan vård och omsorg med boende"
"sni_881","","881","Öppna sociala insatser för äldre och funktionshindrade personer"
"sni_889","","889","Andra öppna sociala insatser"
"sni_900","","900","Konstnärlig och kulturell verksamhet samt underhållningsverksamhet"
"sni_910","","910","Biblioteks-, arkiv- och museiverksamhet m.m."
"sni_920","","920","Spel- och vadhållningsverksamhet"
"sni_931","","931","Sportverksamhet"
"sni_932","","932","Fritids- och nöjesverksamhet"
"sni_941","","941","Intressebevakning inom bransch-, arbetsgivar- och yrkesorganisationer"
"sni_942","","942","Intressebevakning inom arbetstagarorganisationer"
"sni_949","","949","Verksamhet i religiösa samfund och i andra intresseorganisationer"
"sni_951","","951","Reparation av datorer och kommunikationsutrustning"
"sni_952","","952","Reparation av hushållsartiklar och personliga artiklar"
"sni_960","","960","Andra konsumenttjänster"
"sni_970","","970","Förvärvsarbete i hushåll"
"sni_981","","981","Hushållens produktion av diverse varor för eget bruk"
"sni_982","","982","Hushållens produktion av diverse tjänster för eget bruk"
"sni_990","","990","Verksamhet vid internationella organisationer, utländska ambassader o.d."
"sni_0111","","0111","Odling av spannmål (utom ris), baljväxter och oljeväxter"
"sni_0112","","0112","Odling av ris"
"sni_0113","","0113","Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar"
"sni_0114","","0114","Odling av sockerrör"
"sni_0115","","0115","Odling av tobak"
"sni_0116","","0116","Odling av fiberväxter"
"sni_0119","","0119","Odling av andra ett- och tvååriga växter"
"sni_0121","","0121","Odling av druvor"
"sni_0122","","0122","Odling av tropiska och subtropiska frukter"
"sni_0123","","0123","Odling av citrusfrukter"
"sni_0124","","0124","Odling av kärnfrukter och stenfrukter"
"sni_0125","","0125","Odling av andra frukter och bär samt nötter"
"sni_0126","","0126","Odling av oljehaltiga frukter"
"sni_0127","","0127","Odling av växter för dryckesframställning"
"sni_0128","","0128","Odling av kryddväxter, drog- och medicinalväxter"
"sni_0129","","0129","Odling av andra fleråriga växter"
"sni_0130","","0130","Odling av plantskoleväxter"
"sni_0141","","0141","Mjölkproduktion och uppfödning av nötkreatur av mjölkras"
"sni_0142","","0142","Uppfödning av andra nötkreatur och bufflar"
"sni_0143","","0143","Uppfödning av hästar och andra hästdjur"
"sni_0144","","0144","Uppfödning av kameler och kameldjur"
"sni_0145","","0145","Uppfödning av får och getter"
"sni_0146","","0146","Uppfödning av svin"
"sni_0147","","0147","Äggproduktion och uppfödning av fjäderfä"
"sni_0149","","0149","Uppfödning av andra djur"
"sni_0150","","0150","Blandat jordbruk"
"sni_0161","","0161","Service till växtodling"
"sni_0162","","0162","Service till husdjursskötsel"
"sni_0163","","0163","Bearbetning av skördade växter"
"sni_0164","","0164","Bearbetning av utsäde"
"sni_0170","","0170","Jakt och service i anslutning härtill"
"sni_0210","","0210","Skogsförvaltning och skogsskötsel"
"sni_0220","","0220","Drivning"
"sni_0230","","0230","Insamling av annat vilt växande skogsmaterial än trä"
"sni_0240","","0240","Service till skogsbruk"
"sni_0311","","0311","Saltvattensfiske"
"sni_0312","","0312","Sötvattensfiske"
"sni_0321","","0321","Fiskodling i salvatten"
"sni_0322","","0322","Fiskodling i sötvatten"
"sni_0510","","0510","Stenkolsutvinning"
"sni_0520","","0520","Brunkolsutvinning"
"sni_0610","","0610","Utvinning av råpetroleum"
"sni_0620","","0620","Utvinning av naturgas"
"sni_0710","","0710","Järnmalmsutvinning"
"sni_0721","","0721","Utvinning av uran- och toriummalm"
"sni_0729","","0729","Utvinning av annan malm"
"sni_0811","","0811","Brytning av natursten, kalk- och gipssten, krita och skiffer"
"sni_0812","","0812","Utvinning av sand, grus och berg; utvinning av lera och kaolin"
"sni_0891","","0891","Brytning av kemiska mineral"
"sni_0892","","0892","Torvutvinning"
"sni_0893","","0893","Saltutvinning"
"sni_0899","","0899","Diverse övrig utvinning av mineral"
"sni_0910","","0910","Stödtjänster till råpetroleum- och naturgasutvinning"
"sni_0990","","0990","Stödtjänster till annan utvinning"
"sni_1011","","1011","Beredning och hållbarhetsbehandling av kreaturskött"
"sni_1012","","1012","Beredning och hållbarhetsbehandling av fjäderfäkött"
"sni_1013","","1013","Charkuteri- och annan köttvarutillverkning"
"sni_1020","","1020","Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur"
"sni_1031","","1031","Beredning och hållbarhetsbehandling av potatis"
"sni_1032","","1032","Juice- och safttillverkning"
"sni_1039","","1039","Annan beredning och hållbarhetsbehandling av frukt, bär och grönsaker"
"sni_1041","","1041","Framställning av oljor och fetter"
"sni_1042","","1042","Matfettstillverkning"
"sni_1051","","1051","Mejerivarutillverkning"
"sni_1052","","1052","Glasstillverkning"
"sni_1061","","1061","Tillverkning av kvarnprodukter"
"sni_1062","","1062","Stärkelsetillverkning"
"sni_1071","","1071","Tillverkning av mjukt matbröd och färska bakverk"
"sni_1072","","1072","Tillverkning av knäckebröd, kex och konserverade bakverk"
"sni_1073","","1073","Tillverkning av pastaprodukter"
"sni_1081","","1081","Sockertillverkning"
"sni_1082","","1082","Tillverkning av choklad, choklad- och sockerkonfektyrer"
"sni_1083","","1083","Framställning av te och kaffe"
"sni_1084","","1084","Tillverkning av senap, ketchup, kryddor och andra smaksättningsmedel"
"sni_1085","","1085","Tillverkning av lagad mat och färdigrätter"
