id,parent_id/id,code,name,description
ssyk_1362,ssyk_136,1362,1362  Driftchefer inom bygg, anläggning och gruva, Driftchefer inom bygg, anläggning och gruva
ssyk_1371,ssyk_137,1371,1371  Produktionschefer inom tillverkning, Produktionschefer inom tillverkning
ssyk_1372,ssyk_137,1372,1372  Produktionschefer inom tillverkning, Produktionschefer inom tillverkning
ssyk_1380,ssyk_138,1380,1380  Förvaltare inom skogsbruk och lantbruk m.fl., Förvaltare inom skogsbruk och lantbruk m.fl.
ssyk_1411,ssyk_141,1411,1411  Avdelningschefer inom grund- och gymnasieskola samt vuxenutbildning, Avdelningschefer inom grund- och gymnasieskola samt vuxenutbildning
ssyk_1412,ssyk_141,1412,1412  Rektorer, Rektorer
ssyk_1421,ssyk_142,1421,1421  Avdelningschefer inom förskola, Avdelningschefer inom förskola
ssyk_1422,ssyk_142,1422,1422  Förskolechefer, Förskolechefer
ssyk_1491,ssyk_149,1491,1491  Övriga avdelningschefer inom utbildning, Övriga avdelningschefer inom utbildning
ssyk_1492,ssyk_149,1492,1492  Övriga verksamhetschefer inom utbildning, Övriga verksamhetschefer inom utbildning
ssyk_1511,ssyk_151,1511,1511  Klinik- och verksamhetschefer inom hälsa och sjukvård, Klinik- och verksamhetschefer inom hälsa och sjukvård
ssyk_1512,ssyk_151,1512,1512  Avdelnings- och enhetschefer inom hälsa och sjukvård, Avdelnings- och enhetschefer inom hälsa och sjukvård
ssyk_1521,ssyk_152,1521,1521  Avdelningschefer inom socialt och kurativt arbete, Avdelningschefer inom socialt och kurativt arbete
ssyk_1522,ssyk_152,1522,1522  Enhetschefer inom socialt och kurativt arbete, Enhetschefer inom socialt och kurativt arbete
ssyk_1531,ssyk_153,1531,1531  Avdelningschefer inom äldreomsorg, Avdelningschefer inom äldreomsorg
ssyk_1532,ssyk_153,1532,1532  Enhetschefer inom äldreomsorg, Enhetschefer inom äldreomsorg
ssyk_1540,ssyk_154,1540,1540  Chefer och ledare inom trossamfund, Chefer och ledare inom trossamfund
ssyk_1591,ssyk_159,1591,1591  Övriga chefer inom samhällsservice, Övriga chefer inom samhällsservice
ssyk_1592,ssyk_159,1592,1592  Övriga verksamhetschefer inom samhällsservice, Övriga verksamhetschefer inom samhällsservice
ssyk_1611,ssyk_161,1611,1611  Chefer inom bank, finans och försäkring, Chefer inom bank, finans och försäkring
