id,parent_id/id,code,name
sun_522a,sun_522,522a,Civilingenjörsutbildning, energi- och elektroteknik
sun_522b,sun_522,522b,Ingenjörsutbildning, energi- och elektroteknik
sun_522c,sun_522,522c,Elektrisk installation och elmekanik
sun_522d,sun_522,522d,Energi, drift och underhåll
sun_522x,sun_522,522x,Annan utbildning i energi- och elektroteknik
sun_523a,sun_523,523a,Civilingenjörsutbildning, datateknik
sun_523b,sun_523,523b,Civilingenjörsutbildning, automation och elektronik
sun_523c,sun_523,523c,Ingenjörsutbildning, datateknik
sun_523d,sun_523,523d,Ingenjörsutbildning, automation och elektronik
sun_523e,sun_523,523e,Elektronik-, tele- och datatekniskt arbete
sun_523f,sun_523,523f,Automation 
sun_523x,sun_523,523x,Annan utbildning i elektronik, datateknik och automation
sun_524a,sun_524,524a,Civilingenjörsutbildning, kemi- och bioteknik
sun_524b,sun_524,524b,Ingenjörsutbildning, kemi- och bioteknik
sun_524c,sun_524,524c,Laboratorieteknik
sun_524d,sun_524,524d,Processindustriteknik
sun_524x,sun_524,524x,Annan utbildning i kemi- och bioteknik
sun_525a,sun_525,525a,Civilingenjörsutbildning, fordons- och farkostteknik
sun_525b,sun_525,525b,Ingenjörsutbildning, fordons- och farkostteknik
sun_525c,sun_525,525c,Fordonsteknik
sun_525d,sun_525,525d,Fartygs- och flygteknik
sun_525x,sun_525,525x,Annan utbildning i fordons- och farkostteknik
sun_526a,sun_526,526a,Civilingenjörsutbildning, industriell ekonomi och organisation
sun_526b,sun_526,526b,Ingenjörsutbildning, industriell ekonomi och organisation
sun_526x,sun_526,526x,Annan utbildning i industriell ekonomi och organisation
sun_527a,sun_527,527a,Civilingenjörsutbildning, miljöteknik
sun_527b,sun_527,527b,Ingenjörsutbildning, miljöteknik
sun_527x,sun_527,527x,Annan utbildning i miljöteknik och miljökontroll
sun_529a,sun_529,529a,Civilingenjörsutbildning, övrig och ospecificerad utbildning
sun_529b,sun_529,529b,Ingenjörsutbildning, övrig och ospecificerad utbildning
sun_529x,sun_529,529x,Annan utbildning inom teknik och teknisk industri
sun_540a,sun_540,540a,Civilingenjörsutbildning, materialteknik
sun_540b,sun_540,540b,Ingenjörsutbildning, materialteknik
